sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_calib_id,b2_calib_id,mh2_calib_id,mh3_calib_id,mh4_calib_id,mtb_calib_id,mtbh2_calib_id,mtbh3_calib_id,mtbh4_calib_id,norm_hiv_prev_mse,norm_tb_mort_mse,norm_hiv_prev_tb_mort_mse,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female,hivprev_rank_total,hivprev_male,hivprev_female,hiv_tb_rank
1236,3781.974196,12728.053,38244.38312,27893.94051,82648.35082,330307647.2,13336961,343644608.2,0.04769382,0.013060457,6.8,10,10,35,1.2,15,22,50,15,0.06851753,0.005574451,0.074091981,14,701,678,114,647,566,569,391,1
2484,3627.156635,12183.93696,32417.62432,32555.50793,80784.22585,332523532.2,13421312.89,345944845.1,0.047786173,0.012787339,8.4,9.2,10,35,1.2,15,22,50,15,0.074521061,0.002209841,0.076730902,4,532,472,617,281,659,661,448,2
660,3860.806339,13266.46294,28850.16343,33745.52449,79722.9572,333451314,13321198.39,346772512.3,0.047839746,0.012585424,6,10.8,10,35,1.2,15,22,50,15,0.076676355,0.000276972,0.076953328,2,825,775,782,119,690,701,382,3
1212,3787.750259,12734.91861,38221.44749,27789.89574,82534.0121,332703545.8,12795322.11,345498867.9,0.047733152,0.01211658,6.8,10,10,35,1.5,15,22,50,15,0.07335864,0.005369177,0.078727817,11,706,685,104,644,640,669,114,4
4308,3415.530058,11237.60305,36374.66935,31747.62759,82775.43004,332015312.9,13461710.77,345477023.7,0.047744887,0.012908363,10.8,7.6,10,35,1.2,15,22,50,15,0.073301685,0.005802431,0.079104116,17,286,162,520,557,639,638,480,5
3060,3583.010803,11880.04032,43364.19286,27682.72637,86509.97035,330354392.9,13379464.14,343733857,0.047645602,0.013106587,9.2,8.4,10,35,1.2,15,22,50,15,0.06875084,0.012425751,0.081176591,58,435,421,98,979,572,570,418,6
2460,3633.533695,12191.99557,32389.49952,32439.13975,80654.16854,334925575,12902971.78,347828546.8,0.047825509,0.012281445,8.4,9.2,10,35,1.5,15,22,50,15,0.079422601,0.001973656,0.081396257,3,534,485,602,278,740,764,160,7
636,3867.394333,13274.14293,28814.98652,33614.93262,79571.45641,335857112.9,12820997.04,348678110,0.047878914,0.01233941,6,10.8,10,35,1.5,15,22,50,15,0.081628888,0,0.081628888,1,828,780,767,117,771,799,127,8
1235,3756.481018,12594.48769,38910.46416,30869.06459,86130.49746,332058451.9,12881557.88,344940009.8,0.047711914,0.012290332,6.8,10,10,35,1.2,15,22,50,20,0.071900941,0.011759356,0.083660298,53,670,649,413,686,615,641,148,9
4284,3421.703678,11246.01878,36352.01444,31645.59218,82665.32909,334416005.7,12933256.68,347349262.3,0.047784308,0.012227813,10.8,7.6,10,35,1.5,15,22,50,15,0.078176727,0.00560492,0.083781647,15,290,170,508,555,717,735,172,10